  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.651        5.186            4      604.959      678.512      605.353
      127        0.596        5.196            6      605.266      671.981      602.260
      128        0.752        5.181            4      606.229      687.828      593.066
      129        1.002        5.134            4      595.008      687.345      600.005
      130        0.934        5.166            4      606.049      651.641      591.645
      131        0.760        5.148            5      601.518      662.971      598.018
      132        0.961        5.098            5      593.973      694.643      578.558
      133        0.649        5.155            4      602.613      682.393      590.765
      134        0.733        5.134            5      598.178      670.637      597.531
      135        0.644        5.169            4      595.723      672.602      608.452
      136        0.689        5.177            5      598.751      694.258      602.524
      137        0.735        5.167            4      604.163      680.223      606.448
      138        0.885        5.133            4      603.947      688.210      584.828
      139        0.826        5.207            4      603.194      660.976      579.874
      140        0.786        5.131            3      604.053      647.578      595.732
      141        0.591        5.178            3      609.490      663.807      614.912
      142        0.504        5.154            3      600.350      648.522      606.225
      143        0.518        5.180            3      614.822      660.515      615.530
      144        0.579        5.168            5      606.167      631.509      621.391
      145        0.897        5.153            4      599.394      639.673      616.263
      146        0.733        5.165            4      595.858      630.227      598.432
      147        0.535        5.152            6      604.694      616.301      606.445
      148        0.551        5.153            5      601.771      627.000      596.440
      149        0.614        5.130            6      597.265      618.975      594.084
      150        0.660        5.149            5      595.268      631.604      610.522
      151        0.729        5.179            4      610.575      635.599      621.657
      152        0.805        5.183            4      601.523      609.361      598.315
      153        0.736        5.208            5      609.992      643.397      613.253
      154        0.824        5.211            3      613.831      654.156      623.977
      155        0.624        5.182            5      612.340      649.868      607.002
      156        0.903        5.125            5      592.979      643.558      613.464
      157        0.792        5.196            5      608.296      651.900      601.811
      158        0.762        5.256            2      616.198      693.269      615.514
      159        0.960        5.206            3      608.415      698.740      619.949
      160        0.840        5.194            4      604.725      662.170      610.692
      161        0.737        5.155            5      605.105      652.880      607.229
      162        0.831        5.150            4      595.000      621.147      577.411
      163        0.861        5.118            4      599.660      645.701      591.990
      164        0.705        5.162            7      598.996      623.654      598.432
      165        0.857        5.179            3      604.243      658.420      582.626
      166        0.761        5.223            4      615.509      646.594      608.783
      167        0.772        5.186            4      608.290      657.847      602.194
      168        0.769        5.146            5      601.348      637.193      592.670
      169        0.668        5.185            5      606.375      655.279      600.170
      170        0.792        5.181            5      609.170      658.888      612.174
      171        0.764        5.221            3      611.386      672.823      604.599
      172        0.604        5.169            5      606.974      627.938      615.069
      173        0.699        5.192            3      607.037      635.931      607.157
      174        0.742        5.188            5      609.716      648.292      596.340
      175        0.768        5.167            2      607.146      668.435      596.298
      176        0.669        5.167            6      604.834      672.734      609.714
      177        0.757        5.099            3      590.051      643.922      585.498
      178        0.767        5.233            3      616.589      634.742      617.189
      179        0.657        5.188            4      608.628      665.014      606.983
      180        0.763        5.165            5      598.657      637.504      590.051
      181        0.711        5.160            5      605.208      631.571      606.590
      182        0.653        5.155            5      602.095      639.046      606.961
      183        0.699        5.211            5      613.223      644.177      598.451
      184        0.816        5.211            3      606.396      656.944      606.676
      185        0.700        5.131            4      598.950      638.723      581.978
      186        0.801        5.155            6      602.342      646.240      593.718
      187        0.916        5.125            6      593.677      660.968      578.419
      188        1.125        5.097            5      588.344      672.033      576.688
      189        0.895        5.109            2      586.328      675.725      571.061
      190        1.034        5.106            6      593.705      668.576      566.256
      191        0.886        5.134            5      599.580      689.051      586.153
      192        0.887        5.164            4      596.079      681.421      578.350
      193        1.020        5.133            2      602.899      687.405      589.670
      194        0.946        5.106            4      585.527      685.799      573.957
      195        0.809        5.097            6      590.241      666.102      579.962
      196        1.110        5.164            5      603.069      666.360      582.010
      197        0.817        5.144            5      593.281      664.872      591.977
      198        0.768        5.116            5      591.840      658.751      591.236
      199        0.872        5.200            3      608.399      670.558      632.329
      200        0.762        5.217            2      609.289      686.564      630.806
      201        0.885        5.162            4      600.999      680.523      617.860
      202        0.802        5.154            4      601.358      664.271      611.001
      203        0.741        5.151            3      599.380      672.796      594.765
      204        0.718        5.120            4      600.025      641.590      600.949
      205        0.664        5.216            4      610.570      646.688      605.753
      206        0.728        5.193            4      612.119      640.565      616.691
      207        0.634        5.184            3      605.904      646.934      592.304
      208        0.667        5.142            3      607.836      652.325      603.430
      209        0.672        5.143            3      601.225      669.272      602.783
      210        0.771        5.099            5      593.137      682.441      597.713
      211        0.957        5.081            6      590.312      676.931      591.025
      212        0.926        5.109            4      593.218      682.055      596.302
      213        0.781        5.109            7      602.774      679.273      594.104
      214        0.767        5.168            3      599.657      648.658      613.487
      215        0.850        5.073            6      591.062      660.855      582.889
      216        0.776        5.111            6      600.737      654.235      600.541
      217        0.861        5.168            5      608.978      653.516      615.937
      218        0.863        5.153            5      599.246      640.212      609.543
      219        0.694        5.158            4      608.627      639.341      600.561
      220        0.806        5.089            4      590.196      621.806      582.810
      221        0.768        5.096            6      590.045      649.342      598.476
      222        0.625        5.159            5      606.533      668.264      613.663
      223        0.659        5.151            4      601.541      629.985      619.646
      224        0.652        5.133            4      601.207      639.160      585.646
      225        0.699        5.217            6      614.387      671.841      623.669
      226        0.638        5.147            5      609.496      660.961      618.947
      227        0.568        5.148            2      605.801      663.243      609.950
      228        0.622        5.117            4      608.160      645.501      599.051
      229        0.522        5.163            6      608.755      659.443      593.380
      230        0.715        5.147            5      605.618      619.758      593.043
      231        0.854        5.142            4      605.928      642.559      610.839
      232        0.758        5.186            5      612.364      613.202      605.486
      233        0.661        5.216            3      618.335      663.878      625.046
      234        0.799        5.123            4      602.411      659.479      609.733
      235        0.790        5.151            4      600.937      663.282      608.206
      236        0.766        5.125            4      599.808      673.216      617.135
      237        0.882        5.165            2      603.021      682.168      588.820
      238        0.809        5.111            4      595.551      673.496      595.783
      239        0.811        5.130            2      598.245      668.848      610.888
      240        0.675        5.187            4      608.264      692.375      637.563
      241        0.731        5.157            4      607.871      671.455      602.384
      242        0.796        5.175            4      611.879      949.147      619.326
      243        0.641        5.192            4      608.032      677.124      618.491
      244        0.693        5.168            3      609.345      683.322      618.586
      245        0.818        5.162            3      605.774      689.747      621.944
      246        0.713        5.118            2      590.530      672.326      589.291
      247        0.698        5.179            4      609.522      696.642      619.879
      248        0.642        5.156            5      610.032      674.490      593.385
      249        0.727        5.145            4      605.360      688.170      617.761
      250        0.621        5.181            5      607.288      711.388      624.036
      251        0.756        5.198            3      608.984      699.306      612.695
      252        0.820        5.176            4      607.511      948.826      617.647
      253        0.973        5.200            2      606.321      714.901      634.288
      254        0.876        5.156            4      606.791      679.142      611.680
      255        0.949        5.162            4      605.108      703.954      613.257
      256        0.995        5.143            4      601.216      658.769      600.366
      257        0.709        5.143            4      602.497      684.388      595.987
      258        0.870        5.250            3      619.167      707.902      631.787
      259        0.683        5.152            4      612.623      708.638      600.128
      260        0.587        5.126            4      599.232      693.492      610.312
      261        0.665        5.119            5      598.943      722.909      611.453
      262        0.612        5.167            5      607.981      730.208      607.996
      263        0.635        5.118            3      595.933      718.223      602.944
      264        0.738        5.126            3      597.591      730.906      613.537
      265        0.617        5.118            4      596.209      723.178      602.759
      266        0.788        5.120            2      603.013      724.689      602.223
      267        0.654        5.162            4      607.871      727.054      619.485
      268        0.740        5.109            4      602.822      723.146      618.385
      269        0.745        5.076            4      588.348      703.506      591.203
      270        0.814        5.143            5      602.483      722.902      605.117
      271        0.692        5.184            4      610.957      750.751      631.166
      272        0.897        5.151            2      605.611      724.906      595.662
      273        0.893        5.189            3      603.427      750.050      628.430
      274        0.846        5.132            2      605.856      717.866      626.158
      275        0.802        5.183            3      606.847      710.114      616.945
      276        0.905        5.138            3      598.919      932.880      606.102
      277        0.897        5.166            6      600.704      720.095      614.449
      278        0.641        5.199            3      616.948      731.367      625.949
      279        0.679        5.174            5      605.899      728.828      613.614
      280        0.680        5.179            2      612.778      753.770      631.710
      281        0.562        5.115            4      595.502      737.737      598.290
      282        0.766        5.146            4      604.973      744.178      614.304
      283        0.658        5.227            4      618.277      749.106      643.215
      284        0.775        5.115            4      592.628      705.949      599.583
      285        0.745        5.143            2      606.998      728.876      617.811
      286        0.697        5.153            4      603.671      739.043      592.538
      287        0.766        5.100            5      595.930      715.617      590.365
      288        0.911        5.151            2      603.023      741.802      599.813
      289        0.763        5.117            2      595.512      726.202      591.903
      290        0.896        5.151            3      610.298      790.240      620.052
      291        0.676        5.189            3      615.232      744.176      618.435
      292        0.966        5.109            4      589.505      741.572      586.963
      293        0.835        5.201            4      610.179      726.999      617.971
      294        0.674        5.215            5      617.655      738.940      629.642
      295        0.729        5.129            4      601.611      722.649      603.575
      296        0.804        5.136            3      602.811      671.771      612.813
      297        0.740        5.148            4      601.057      705.301      615.031
      298        0.737        5.203            4      612.843      709.641      618.351
      299        0.827        5.198            6      609.660      703.416      627.519
      300        0.872        5.206            4      612.250      962.226      630.423
      301        0.735        5.168            3      608.474      951.773      614.395
      302        0.655        5.224            4      619.766      960.911      627.910
      303        0.638        5.190            6      612.088      950.880      604.065
      304        0.718        5.170            4      605.233      946.664      612.935
      305        0.868        5.176            2      602.820      704.384      623.428
      306        0.861        5.158            5      603.673      951.432      609.533
      307        0.875        5.112            4      593.397      728.881      612.162
      308        0.887        5.085            5      590.490      733.262      594.302
      309        0.992        5.083            4      591.599      730.103      604.635
      310        0.771        5.151            6      600.738      712.117      608.915
      311        0.937        5.071            4      593.393      735.990      597.142
      312        0.849        5.159            2      600.663      709.585      596.317
      313        0.850        5.223            4      615.069      739.027      644.040
      314        0.697        5.194            5      607.501      724.825      609.721
      315        0.736        5.143            5      604.384      722.566      612.928
      316        0.838        5.155            4      605.056      718.484      608.871
      317        0.659        5.146            3      606.867      716.702      620.777
      318        0.770        5.150            5      601.995      711.891      619.742
      319        0.850        5.150            4      596.936      692.625      623.789
      320        0.855        5.147            3      601.448      711.367      607.616
      321        0.774        5.131            3      601.540      690.443      595.786
      322        0.843        5.201            3      608.140      727.188      604.077
      323        0.778        5.191            3      611.103      716.816      625.182
      324        0.849        5.109            4      600.340      705.122      590.653
      325        0.679        5.126            4      604.280      720.754      604.485
      326        0.916        5.102            3      596.205      706.986      609.133
      327        0.968        5.133            6      599.974      726.682      590.901
      328        0.830        5.155            5      600.685      708.327      604.376
      329        0.986        5.158            5      597.899      702.298      611.300
      330        0.728        5.116            4      593.608      690.611      591.766
      331        0.699        5.105            6      595.145      688.662      588.547
      332        0.724        5.147            5      602.400      693.174      609.396
      333        0.698        5.095            4      591.303      691.398      613.535
      334        1.010        5.090            4      594.925      720.890      599.728
      335        0.944        5.173            3      602.621      689.332      605.331
      336        0.743        5.213            4      608.888      698.057      611.584
      337        0.988        5.151            6      605.226      716.875      600.247
      338        0.886        5.127            5      605.557      735.199      611.168
      339        0.935        5.140            3      600.456      751.105      612.046
      340        0.756        5.132            2      601.649      722.214      627.820
      341        0.719        5.151            5      607.293      731.509      607.782
      342        0.702        5.164            4      605.181      786.133      609.718
      343        0.638        5.163            4      600.901      751.228      603.632
      344        0.895        5.159            5      603.349      746.571      600.889
      345        0.691        5.159            5      607.122      946.365      610.060
      346        0.694        5.192            4      611.514      951.612      629.501
      347        0.653        5.175            3      609.824      742.763      613.359
      348        0.806        5.091            3      595.694      720.426      602.532
      349        0.766        5.087            5      592.278      691.639      612.460
      350        0.744        5.155            4      602.924      719.957      618.407
      351        0.703        5.105            3      594.984      718.778      596.635
      352        0.645        5.147            3      604.222      730.511      606.153
      353        0.670        5.183            4      611.159      956.435      619.225
      354        0.674        5.169            5      613.230      951.012      615.966
      355        0.902        5.145            6      601.524      939.162      619.660
      356        0.701        5.103            5      597.853      936.230      606.763
      357        0.610        5.154            4      606.429      942.175      603.997
      358        0.769        5.145            3      601.333      939.838      608.418
      359        0.621        5.207            3      620.334      963.827      619.895
      360        0.801        5.137            3      606.913      766.491      603.716
      361        0.806        5.119            4      600.188      725.728      605.398
      362        0.859        5.088            3      591.002      715.305      617.712
      363        0.632        5.163            4      602.401      942.170      609.161
      364        0.945        5.164            5      601.113      691.236      621.593
      365        0.745        5.175            5      606.891      732.406      598.255
      366        0.696        5.164            3      603.504      747.340      625.237
      367        0.970        5.185            1      604.506      714.383      606.574
      368        0.805        5.134            4      598.928      708.914      620.667
      369        0.846        5.104            5      591.081      730.506      587.219
      370        0.859        5.127            4      602.522      718.611      605.933
      371        0.833        5.131            4      600.045      714.290      621.044
      372        0.822        5.129            5      601.468      724.521      601.251
      373        0.981        5.129            3      597.690      739.798      610.803
      374        0.818        5.132            4      602.907      751.593      609.640
      375        0.767        5.109            5      591.982      714.860      594.504
      376        0.662        5.101            4      598.126      737.470      606.328
      377        0.774        5.104            3      591.777      708.660      609.562
      378        0.852        5.141            4      603.771      718.343      604.028
      379        0.801        5.199            4      612.480      746.398      630.949
      380        0.775        5.092            5      602.444      724.687      607.152
      381        0.772        5.174            4      611.085      746.007      618.998
      382        0.708        5.127            4      595.554      723.183      608.149
      383        0.614        5.160            3      603.950      735.708      616.420
      384        0.826        5.097            5      598.365      741.119      592.560
      385        0.808        5.198            2      614.383      741.211      616.090
      386        0.874        5.171            3      601.967      720.827      608.368
      387        0.852        5.188            4      611.759      735.283      621.548
      388        0.829        5.212            3      614.411      777.952      632.264
      389        0.686        5.143            4      603.164      731.262      599.588
      390        0.993        5.151            5      609.623      739.172      603.053
      391        1.104        5.168            4      613.337      765.241      594.669
      392        1.033        5.141            2      602.808      735.754      605.216
      393        0.952        5.164            4      615.546      752.594      626.765
      394        0.821        5.141            3      609.800      741.665      613.195
      395        0.762        5.231            4      623.073      760.463      617.206
