  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        0.907        5.410            1      638.875      542.936      680.295
      127        0.923        5.437            1      646.852      552.625      679.137
      128        0.866        5.491            2      647.630      520.616      689.389
      129        0.925        5.446            1      643.946      522.827      693.957
      130        0.940        5.432            1      640.996      506.061      675.838
      131        0.928        5.466            1      649.802      543.554      678.937
      132        0.956        5.545            1      661.268      547.564      683.304
      133        1.105        5.479            1      653.595      559.689      684.956
      134        0.958        5.403            1      635.940      529.501      672.949
      135        0.889        5.454            0      649.487      554.252      684.694
      136        1.038        5.410            1      653.630      547.593      666.108
      137        1.044        5.452            0      649.099      544.938      679.381
      138        1.119        5.499            1      654.423      575.065      699.387
      139        1.148        5.402            1      637.866      582.737      657.131
      140        1.103        5.333            2      632.036      521.729      653.913
      141        0.821        5.450            1      648.090      535.684      677.005
      142        1.011        5.469            1      648.389      503.457      684.342
      143        0.944        5.471            1      645.967      511.995      694.564
      144        0.919        5.389            1      636.861      486.498      672.681
      145        1.023        5.394            1      638.118      476.876      670.304
      146        0.967        5.467            2      649.566      464.563      700.935
      147        1.137        5.392            1      638.653      463.263      689.595
      148        1.006        5.459            1      650.416      466.835      688.404
      149        1.035        5.449            1      643.851      459.250      696.286
      150        1.023        5.440            1      642.833      477.643      695.127
      151        0.916        5.427            1      639.474      483.315      692.308
      152        0.977        5.476            1      644.885      526.435      689.865
      153        1.009        5.453            3      644.150      474.968      670.809
      154        0.988        5.429            2      640.827      466.454      648.234
      155        0.956        5.423            3      643.227      480.165      669.141
      156        0.959        5.481            3      648.347      461.737      662.962
      157        0.940        5.480            2      641.095      486.866      664.256
      158        0.953        5.455            2      647.791      482.289      684.042
      159        0.981        5.483            2      648.592      497.624      681.090
      160        1.106        5.468            1      653.520      507.078      702.162
      161        1.019        5.444            1      642.960      505.756      680.149
      162        1.008        5.459            0      644.148      481.017      688.130
      163        0.962        5.423            1      634.626      468.608      688.515
      164        1.014        5.454            0      641.041      495.402      686.788
      165        0.963        5.406            1      635.983      495.228      677.156
      166        0.983        5.447            0      645.592      511.805      694.865
      167        0.988        5.450            1      645.666      499.079      697.184
      168        1.064        5.463            1      645.353      510.490      693.184
      169        1.015        5.453            1      639.735      493.233      691.073
      170        0.990        5.458            1      646.629      496.622      688.491
      171        1.123        5.421            1      645.501      495.713      666.088
      172        1.005        5.500            0      651.338      510.937      688.769
      173        0.972        5.520            1      651.185      525.567      700.876
      174        0.994        5.393            1      631.763      529.394      673.966
      175        0.924        5.492            0      649.643      511.615      690.711
      176        0.971        5.437            1      643.243      499.539      698.961
      177        0.968        5.429            0      646.742      488.367      708.492
      178        0.981        5.418            2      637.351      476.466      673.914
      179        0.977        5.427            1      646.809      492.756      674.196
      180        0.984        5.445            1      644.970      479.515      698.484
      181        1.010        5.406            1      635.371      491.787      668.228
      182        1.016        5.388            1      637.384      513.681      690.006
      183        0.969        5.454            1      648.737      524.042      695.102
      184        1.016        5.487            0      649.981      512.484      704.654
      185        0.989        5.462            1      642.655      504.429      689.764
      186        1.037        5.467            1      642.366      512.785      673.965
      187        1.051        5.499            1      644.177      515.890      687.530
      188        1.014        5.511            1      649.802      502.576      687.260
      189        0.926        5.505            1      651.792      504.107      693.299
      190        0.931        5.435            1      638.790      511.960      664.254
      191        0.988        5.420            0      633.803      508.858      655.436
      192        1.094        5.489            2      651.218      513.974      675.363
      193        1.001        5.462            1      643.394      519.504      658.014
      194        1.020        5.404            0      635.831      480.524      676.779
      195        0.953        5.457            0      639.879      488.154      688.708
      196        1.018        5.470            0      646.278      518.876      685.976
      197        0.908        5.468            1      640.037      498.473      669.688
      198        0.961        5.482            3      646.104      501.649      658.689
      199        0.928        5.456            1      639.109      496.508      657.831
      200        0.990        5.469            2      647.257      506.193      685.552
      201        1.029        5.484            0      654.222      573.706      695.912
      202        1.159        5.412            2      644.531      540.855      672.419
      203        0.960        5.483            1      647.517      540.610      691.539
      204        0.936        5.448            1      640.257      490.003      684.958
      205        1.173        5.403            1      639.867      492.251      672.919
      206        0.909        5.490            2      645.404      488.339      674.784
      207        0.996        5.443            1      641.314      491.395      679.270
      208        1.036        5.469            0      646.984      515.988      684.959
      209        0.900        5.485            1      648.556      501.058      684.824
      210        0.951        5.448            0      649.251      516.131      684.847
      211        1.025        5.471            2      646.600      510.967      684.388
      212        0.986        5.472            1      640.652      490.775      693.418
      213        1.009        5.491            1      651.550      519.199      708.125
      214        0.964        5.471            0      649.742      521.803      699.257
      215        0.890        5.450            1      644.497      522.007      677.433
      216        0.953        5.456            0      643.323      543.767      706.368
      217        1.066        5.466            0      650.178      528.299      706.810
      218        1.146        5.411            1      638.803      496.157      652.257
      219        1.058        5.436            1      638.858      502.500      667.682
      220        1.040        5.496            1      651.606      536.554      692.903
      221        1.055        5.372            1      630.345      502.866      676.710
      222        0.973        5.447            2      651.231      505.817      692.338
      223        0.925        5.454            2      648.140      531.100      684.718
      224        1.092        5.442            1      640.084      477.738      694.193
      225        1.067        5.450            1      642.546      503.705      672.358
      226        0.989        5.378            0      632.604      474.434      681.472
      227        0.898        5.402            1      634.823      485.951      672.227
      228        1.074        5.453            0      646.702      505.416      710.109
      229        1.161        5.494            0      650.129      475.969      697.180
      230        0.968        5.424            2      639.374      502.426      667.405
      231        1.116        5.431            1      650.233      497.011      683.917
      232        1.054        5.505            1      657.132      528.534      699.307
      233        1.051        5.461            1      653.380      495.093      696.146
      234        0.960        5.459            1      645.086      556.976      680.523
      235        1.107        5.497            1      642.824      525.104      684.944
      236        1.003        5.437            1      641.959      528.630      671.151
      237        1.025        5.449            3      638.589      542.193      657.900
      238        0.937        5.448            3      644.118      519.474      677.027
      239        1.090        5.412            1      645.388      521.612      697.112
      240        1.204        5.435            1      646.870      535.884      677.681
      241        1.099        5.445            0      648.982      538.249      698.276
      242        1.160        5.412            2      651.328      533.171      680.094
      243        1.131        5.434            0      651.571      538.546      707.916
      244        1.086        5.448            1      646.668      536.429      703.284
      245        1.170        5.413            1      643.711      549.396      695.221
      246        1.089        5.506            0      656.042      554.537      690.890
      247        1.144        5.482            2      660.338      525.256      687.802
      248        1.146        5.405            1      642.374      517.552      672.857
      249        1.098        5.464            2      654.030      519.309      684.921
      250        1.200        5.465            1      657.065      530.096      690.026
      251        1.067        5.429            1      646.631      523.718      664.327
      252        1.075        5.429            1      642.101      507.099      680.348
      253        1.169        5.451            1      645.260      551.877      679.891
      254        1.140        5.472            1      651.198      558.361      678.430
      255        1.143        5.497            3      655.573      563.084      679.741
      256        1.074        5.430            2      644.023      529.589      667.365
      257        1.011        5.463            3      646.546      486.723      676.309
      258        1.023        5.534            3      656.969      519.711      677.759
      259        1.022        5.454            2      646.553      481.488      687.417
      260        1.030        5.489            0      645.981      520.903      696.417
      261        1.110        5.451            0      645.087      492.255      686.310
      262        1.219        5.470            2      652.297      527.584      677.294
      263        1.143        5.390            2      641.230      520.033      670.702
      264        1.135        5.420            3      639.610      494.191      636.477
      265        1.002        5.493            2      649.374      505.859      657.489
      266        1.110        5.465            2      644.275      517.656      674.328
      267        1.062        5.463            2      646.856      515.582      666.218
      268        1.097        5.451            1      645.462      533.121      681.112
      269        1.048        5.475            1      648.003      507.061      674.445
      270        1.008        5.457            1      648.642      497.486      686.940
      271        1.064        5.415            1      640.608      492.512      681.611
      272        1.052        5.469            1      649.493      511.497      696.239
      273        1.090        5.424            1      645.135      477.240      700.642
      274        1.063        5.471            1      648.213      502.111      675.494
      275        1.041        5.477            2      649.937      534.007      676.932
      276        1.025        5.428            1      641.088      485.763      671.073
      277        0.956        5.424            2      640.056      507.238      660.534
      278        0.988        5.475            1      646.445      503.376      687.343
      279        1.022        5.468            1      641.248      530.828      686.937
      280        1.036        5.505            2      649.866      568.272      679.584
      281        1.057        5.461            1      653.154      557.814      676.485
      282        1.124        5.411            2      639.318      547.739      644.037
      283        1.014        5.462            1      652.003      567.282      693.368
      284        0.978        5.430            1      645.628      552.218      646.482
      285        0.987        5.497            1      645.130      543.239      670.350
      286        1.048        5.472            0      646.384      541.221      671.258
      287        0.973        5.387            0      635.835      549.899      660.145
      288        1.148        5.395            2      640.555      556.297      672.669
      289        1.074        5.437            1      649.121      563.203      667.561
      290        1.108        5.436            1      644.972      592.648      688.038
      291        1.005        5.479            1      650.393      560.650      683.864
      292        1.067        5.436            2      639.613      540.314      668.139
      293        1.011        5.433            2      636.246      487.105      656.489
      294        1.006        5.490            1      646.819      493.482      676.303
      295        1.024        5.444            1      643.269      517.105      670.642
      296        1.160        5.408            1      634.275      507.533      694.731
      297        1.110        5.425            1      648.795      519.899      709.070
      298        1.126        5.470            1      650.987      538.715      710.010
      299        1.232        5.423            1      645.678      505.861      687.038
      300        1.015        5.441            3      644.304      534.396      653.811
      301        1.037        5.492            1      650.315      509.557      684.132
      302        1.149        5.455            1      643.893      496.998      661.413
      303        1.063        5.420            1      644.269      493.098      667.870
      304        1.023        5.430            3      648.696      504.946      653.164
      305        1.059        5.441            1      637.411      499.315      662.914
      306        1.067        5.470            2      646.320      509.435      675.606
      307        1.064        5.460            3      642.377      525.195      678.052
      308        1.196        5.421            3      636.973      505.681      663.385
      309        1.182        5.406            2      635.869      484.837      669.402
      310        1.082        5.457            3      641.806      483.096      665.256
      311        1.098        5.454            1      646.246      516.111      670.089
      312        1.019        5.439            1      641.972      497.726      654.111
      313        1.094        5.428            3      642.966      492.439      659.446
      314        1.148        5.423            2      635.668      516.670      660.297
      315        1.130        5.431            2      640.195      511.807      678.316
      316        1.154        5.436            0      638.848      518.499      662.257
      317        1.150        5.424            2      637.906      523.112      649.450
      318        1.131        5.429            2      644.284      511.671      667.920
      319        1.098        5.478            2      642.960      503.912      674.382
      320        1.163        5.420            2      633.283      504.911      664.125
      321        1.154        5.465            2      646.511      512.135      660.338
      322        1.202        5.446            2      646.439      505.945      664.848
      323        1.138        5.383            3      632.109      500.626      650.971
      324        1.149        5.365            3      634.630      475.231      675.299
      325        1.133        5.449            4      639.753      484.749      663.562
      326        1.202        5.461            0      647.274      511.016      676.270
      327        1.154        5.480            2      641.065      472.040      649.700
      328        1.136        5.429            1      635.103      468.187      663.640
      329        1.137        5.483            2      646.964      489.773      673.355
      330        1.105        5.452            2      644.549      493.009      666.245
      331        1.071        5.443            2      640.010      499.666      655.267
      332        1.192        5.369            2      632.766      513.571      657.365
      333        1.197        5.464            1      652.079      524.709      689.535
      334        1.102        5.430            4      643.736      493.999      659.713
      335        1.184        5.400            2      638.149      496.726      656.862
      336        1.189        5.444            1      643.158      523.564      677.317
      337        1.101        5.428            2      642.387      505.568      658.890
      338        1.198        5.399            1      641.139      484.792      676.299
      339        1.174        5.400            2      639.425      478.288      653.943
      340        1.108        5.365            1      637.981      474.841      650.232
      341        1.098        5.406            1      638.503      482.076      694.374
      342        1.011        5.422            2      640.803      513.499      667.108
      343        1.151        5.391            2      636.205      513.128      656.931
      344        1.130        5.434            2      643.700      498.114      662.928
      345        1.104        5.492            1      655.426      510.844      681.453
      346        1.070        5.476            2      652.914      516.915      679.521
      347        1.012        5.410            2      637.031      509.497      650.867
      348        1.059        5.465            1      641.807      522.778      675.795
      349        1.069        5.424            1      635.313      507.148      665.583
      350        1.172        5.433            2      642.031      503.111      677.689
      351        0.977        5.447            4      642.975      473.278      663.886
      352        1.073        5.402            2      639.878      497.795      668.156
      353        1.133        5.398            3      643.278      487.709      667.251
      354        1.039        5.468            3      651.301      472.812      684.505
      355        1.030        5.461            4      643.793      482.293      677.118
      356        1.127        5.417            3      629.850      455.126      662.630
      357        0.997        5.448            3      647.753      471.627      672.071
      358        0.974        5.455            2      646.410      472.508      666.489
      359        1.000        5.429            2      635.994      481.542      667.682
      360        1.061        5.443            3      647.960      485.244      665.358
      361        1.152        5.392            2      634.658      518.123      672.181
      362        1.046        5.465            4      647.725      497.867      680.082
      363        1.075        5.402            1      631.925      485.339      675.926
      364        1.145        5.459            0      643.358      489.998      686.194
      365        0.924        5.434            2      640.920      490.258      679.847
      366        1.009        5.409            1      639.876      453.128      653.096
      367        1.011        5.485            2      648.146      481.906      684.700
