  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        2.064        5.379            0      529.017       86.073       69.514
      127        1.807        5.415            0      523.455       85.477       73.332
      128        1.941        5.325            0      526.547       82.206       73.891
      129        2.012        5.252            0      521.015       86.932       74.942
      130        1.988        5.364            0      524.830       82.925       66.678
      131        1.918        5.438            0      528.148       93.778       62.719
      132        1.617        5.560            0      528.210       90.850       66.325
      133        2.071        5.292            0      521.687       80.950       60.918
      134        1.872        5.473            0      529.605       79.636       63.628
      135        2.088        5.392            0      524.558       95.429       60.287
      136        2.075        5.409            0      530.239      108.531       62.319
      137        1.477        5.613            0      528.025       99.320       73.971
      138        1.759        5.414            0      521.066      100.207       69.100
      139        1.807        5.481            0      528.003       87.815       61.419
      140        1.643        5.578            0      534.853       77.032       69.287
      141        1.682        5.517            0      529.228       80.507       70.085
      142        1.808        5.439            0      529.441       79.274       70.078
      143        2.239        5.232            0      523.962       76.662       68.543
      144        1.575        5.574            0      528.920       93.069       69.404
      145        2.113        5.368            0      528.055      116.276       64.020
      146        1.677        5.537            0      530.962       98.951       69.426
      147        1.693        5.522            0      529.155      106.878       67.832
      148        1.465        5.667            0      533.684       94.552       60.354
      149        1.645        5.511            0      530.349       94.732       63.971
      150        1.731        5.439            0      525.288      109.868       68.680
      151        1.567        5.597            0      532.006      105.280       63.298
      152        1.696        5.560            0      530.803       87.662       67.544
      153        2.177        5.287            0      525.242       85.645       72.024
      154        2.035        5.336            0      521.118       74.408       70.233
      155        2.184        5.304            0      524.219       92.176       68.822
      156        1.971        5.372            0      524.817       83.383       66.341
      157        1.849        5.525            0      531.982       88.282       67.204
      158        1.906        5.448            0      529.236       91.230       67.699
      159        1.860        5.462            0      526.234       91.501       71.115
      160        1.789        5.470            0      526.453       88.324       68.820
      161        1.822        5.469            0      532.297      102.512       67.598
      162        1.671        5.526            0      528.910       87.373       65.915
      163        1.966        5.356            0      524.234       95.845       67.435
      164        1.480        5.667            0      531.223       80.894       69.644
      165        1.565        5.613            0      532.019       79.497       67.762
      166        1.425        5.705            0      531.901      100.683       61.995
      167        1.590        5.543            0      525.191      104.649       65.161
      168        1.840        5.495            0      533.225       83.830       64.851
      169        2.062        5.343            0      526.754       91.950       70.760
      170        1.554        5.586            0      533.430      103.127       66.761
      171        1.648        5.628            0      533.935      100.515       68.203
      172        1.579        5.596            0      533.527       97.769       67.530
      173        1.851        5.492            0      530.467       98.790       69.203
      174        1.732        5.501            0      526.144       79.272       64.219
      175        1.784        5.460            0      530.205      101.883       65.482
      176        1.626        5.589            0      532.202       82.930       66.126
      177        1.664        5.533            0      530.286       91.018       70.437
      178        1.685        5.513            0      530.202       80.913       63.572
      179        1.685        5.506            0      525.814       74.782       66.661
      180        1.740        5.511            0      531.114       58.832       70.578
      181        1.672        5.471            0      528.396       85.337       62.883
      182        1.520        5.530            0      527.788       66.785       61.616
      183        1.728        5.441            0      528.700       95.859       66.121
      184        1.616        5.536            0      527.135       71.163       66.265
      185        1.533        5.587            0      530.513       80.066       64.955
      186        1.739        5.421            0      526.787       76.072       67.392
      187        1.546        5.603            0      532.791       65.309       72.077
      188        1.550        5.484            0      527.890       56.629       68.126
      189        1.645        5.480            0      528.792       84.102       68.447
      190        1.717        5.453            0      527.984       63.693       69.971
      191        1.713        5.561            0      530.753       77.229       68.309
      192        1.712        5.485            0      529.302       84.147       70.132
      193        1.912        5.375            0      519.729       92.450       73.052
      194        1.740        5.495            0      530.552       66.097       66.385
      195        1.592        5.581            0      531.848       78.958       66.047
      196        1.629        5.580            0      531.634       93.937       66.137
      197        1.704        5.514            0      530.361       73.358       65.217
      198        1.462        5.581            0      530.131       77.220       66.810
      199        1.712        5.478            0      527.948       61.414       69.078
      200        1.649        5.556            0      531.682       75.776       67.637
      201        1.530        5.591            0      529.256       71.039       64.467
      202        1.606        5.485            0      530.156       67.414       68.170
      203        1.491        5.670            0      533.825       78.414       65.333
      204        1.623        5.605            0      537.031       69.000       64.056
      205        1.710        5.476            0      524.684       57.157       67.087
      206        1.727        5.507            0      531.174       63.798       70.407
      207        1.565        5.597            0      531.489       89.211       69.106
      208        1.524        5.545            0      526.624       77.666       65.322
      209        1.541        5.554            0      526.739       68.257       65.554
      210        1.954        5.448            0      527.165       68.986       66.216
      211        1.760        5.487            0      530.947       63.069       67.530
      212        1.330        5.650            0      531.864       70.912       66.466
      213        1.844        5.485            0      529.552       74.518       65.654
      214        2.038        5.330            0      530.013       83.537       67.250
      215        1.777        5.495            0      527.987       65.123       64.814
      216        1.568        5.561            0      529.481       78.964       68.850
      217        1.785        5.489            0      528.063       63.088       64.486
      218        1.628        5.530            0      528.892       78.467       70.032
      219        1.624        5.559            0      532.116       81.159       67.539
      220        1.749        5.474            0      529.809       75.271       70.765
      221        1.986        5.400            0      529.587       51.198       68.677
      222        1.487        5.627            0      530.689       83.586       70.854
      223        1.734        5.508            0      532.153       74.477       70.003
      224        1.589        5.564            0      531.486       88.387       70.303
      225        1.866        5.457            0      530.184       88.979       66.126
      226        1.809        5.468            0      528.557       98.354       65.083
      227        1.736        5.421            0      526.020      100.377       66.373
      228        1.617        5.569            0      526.846       78.926       66.768
      229        1.808        5.534            0      528.139       92.508       67.627
      230        1.619        5.604            0      530.252       73.251       61.742
      231        1.572        5.619            0      534.258       97.191       66.203
      232        1.726        5.498            0      528.578       88.306       67.788
      233        1.505        5.640            0      531.261       66.859       67.663
      234        1.783        5.472            0      527.541       84.558       69.640
      235        1.642        5.549            0      528.829       64.712       69.248
      236        1.699        5.554            0      534.826       96.620       66.423
      237        1.429        5.737            0      534.711       93.714       64.313
      238        1.186        5.715            0      530.279       91.312       63.753
      239        1.380        5.722            0      532.855       92.486       63.097
      240        1.421        5.688            0      530.276       67.718       66.727
      241        1.267        5.676            0      527.670       78.584       62.542
      242        1.202        5.817            0      529.881       88.314       62.994
      243        1.211        5.764            0      528.831      102.094       61.732
      244        1.025        5.805            0      531.980       87.327       64.828
      245        1.092        5.796            0      534.206       85.751       68.539
      246        1.089        5.836            0      533.940      107.105       61.966
      247        1.053        5.800            0      532.525       82.893       62.961
      248        1.139        5.776            0      531.785       96.970       63.991
      249        0.958        5.879            0      538.309       89.868       66.306
      250        0.899        5.898            0      532.549       85.993       64.218
      251        0.957        5.791            0      530.514       80.697       66.912
      252        0.875        5.893            0      532.300       98.597       69.215
      253        1.057        5.799            0      530.334       76.477       69.956
      254        0.914        5.858            0      531.479       91.804       64.944
      255        1.326        5.681            0      528.087       87.675       66.056
      256        1.002        5.844            0      529.928       96.964       62.400
      257        1.070        5.768            0      531.457      127.520       67.498
      258        1.111        5.793            0      533.331       93.888       69.972
      259        1.187        5.681            0      527.679       83.822       69.505
      260        1.147        5.670            0      521.455       80.701       62.689
      261        1.051        5.855            0      532.734       95.727       68.016
      262        1.050        5.759            0      524.857       99.508       60.319
      263        0.801        5.972            0      537.273       95.512       72.676
      264        0.916        5.888            0      528.009       95.570       72.857
      265        0.672        6.057            0      536.413      112.599       75.071
      266        0.662        6.092            0      540.342      103.968       73.151
      267        0.589        6.001            0      534.977      112.045       79.886
      268        0.697        6.013            0      537.830       85.456       73.918
      269        0.710        5.969            0      536.756      112.005       70.445
      270        0.464        5.931            0      533.243       92.789       66.581
      271        0.596        5.946            0      532.789       95.002       68.683
      272        0.897        5.957            0      539.559      107.029       80.604
      273        0.539        5.982            0      532.048       88.477       70.462
      274        0.876        5.783            0      529.677       60.025       77.810
      275        0.933        5.896            0      537.756       65.916       80.792
      276        0.691        5.976            0      534.942       94.364       67.855
      277        0.871        5.862            0      529.968       84.232       71.558
      278        0.504        5.966            0      535.375       75.924       70.565
      279        0.731        5.872            0      524.943       55.028       65.081
      280        0.696        5.921            0      528.865       55.147       67.477
      281        1.173        5.734            0      524.095       84.846       85.650
      282        1.200        5.718            0      525.030       84.619       85.083
      283        1.252        5.622            0      518.048       88.920       81.293
      284        0.959        5.934            0      534.298      109.881       77.736
      285        1.079        5.720            0      523.502       87.229       75.534
      286        1.193        5.668            0      524.852       69.046       79.019
      287        1.031        5.786            0      522.217       97.850       73.619
      288        1.104        5.727            0      522.258       73.466       80.082
      289        1.054        5.758            0      524.458       69.802       72.917
      290        1.098        5.769            0      529.377       63.118       79.680
      291        0.911        5.903            0      532.138       79.065       71.559
      292        1.097        5.729            0      529.455       68.792       76.680
      293        1.155        5.727            0      522.688       75.652       74.916
      294        1.282        5.696            0      522.383       85.569       83.696
      295        1.035        5.826            0      523.817       78.421       78.713
      296        1.122        5.711            0      526.739       79.467       77.426
      297        1.072        5.826            0      526.973       76.458       75.827
      298        1.078        5.723            0      523.982       89.514       74.445
      299        1.049        5.815            0      526.105       92.751       68.388
      300        1.092        5.792            0      523.984      139.715       73.445
      301        0.943        5.763            0      522.274      155.876       76.606
      302        0.910        5.887            0      525.667      186.453       69.815
      303        0.935        5.923            0      528.921      163.115       70.479
      304        1.013        5.776            0      521.134      152.914       76.654
      305        1.088        5.759            0      519.556      126.835       78.781
      306        0.912        5.796            0      523.009      150.996       69.065
      307        0.917        5.795            0      524.614      162.924       69.325
      308        0.981        5.840            0      525.979      104.478       73.745
      309        0.958        5.805            0      526.481      135.016       77.031
      310        1.001        5.875            0      530.440      151.997       74.095
      311        0.977        5.764            0      525.869      160.386       75.187
      312        1.069        5.760            0      527.331      147.222       75.992
      313        0.908        5.888            0      528.254      169.708       73.816
      314        1.023        5.741            0      525.428      147.577       76.785
      315        1.121        5.821            0      524.122      150.294       75.771
      316        0.953        5.927            0      530.677      153.713       71.626
      317        1.116        5.774            0      528.903      148.285       75.749
      318        1.109        5.808            0      530.356      138.946       78.448
      319        1.340        5.663            0      522.911      135.393       75.018
      320        1.132        5.834            0      531.397      151.957       75.620
      321        1.307        5.665            0      523.771      149.540       74.245
      322        1.213        5.745            0      527.253      132.863       77.020
      323        0.963        5.805            0      527.070      171.781       74.519
      324        1.307        5.670            0      523.832      171.933       81.045
      325        1.028        5.878            0      532.626      135.489       72.625
      326        1.141        5.768            0      528.269      164.888       77.580
      327        1.137        5.824            0      532.794      168.922       78.088
      328        1.204        5.755            0      521.370      152.460       74.432
      329        1.126        5.728            0      523.173      157.809       78.745
      330        1.302        5.673            0      524.689      147.372       80.094
      331        1.068        5.790            0      529.695      156.859       77.812
      332        1.197        5.743            0      529.185      148.420       74.748
      333        1.110        5.875            0      527.567      167.425       76.153
      334        0.987        5.803            0      530.964      170.466       73.928
      335        1.196        5.774            0      526.472      171.573       76.827
      336        1.193        5.767            0      526.094      163.507       78.418
      337        1.258        5.720            0      525.001      163.334       73.630
      338        0.977        5.880            0      532.149      167.013       76.445
      339        1.102        5.777            0      522.134      178.394       68.483
      340        0.936        5.762            0      522.121      174.349       66.325
      341        1.250        5.704            0      519.533      174.476       80.349
      342        1.074        5.813            0      530.901      192.404       76.016
      343        0.957        5.955            0      531.393      170.463       73.247
      344        0.989        5.855            0      532.240      181.000       77.089
      345        1.012        5.881            0      526.721      167.557       71.740
      346        1.114        5.832            0      525.811      163.672       72.954
      347        1.014        5.926            0      531.818      181.573       70.641
      348        0.963        5.847            0      527.816      181.461       71.347
      349        1.133        5.784            0      526.674      166.495       74.547
      350        1.135        5.751            0      523.725      186.774       74.241
      351        1.117        5.786            0      524.987      187.106       77.476
      352        0.951        5.870            0      530.062      179.377       74.909
      353        1.009        5.792            0      520.005      206.648       70.449
      354        1.007        5.780            0      523.007      175.809       74.685
      355        1.031        5.790            0      519.740      157.681       79.336
      356        1.141        5.747            0      525.615      191.008       80.100
