  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        2.860        8.073            0      766.645      361.027       88.862
      127        2.621        7.885            0      761.854      399.629       89.877
      128        2.646        7.837            0      759.594      376.639       86.496
      129        2.283        7.621            0      749.085      368.126       89.427
      130        2.591        7.922            0      761.861      382.340       93.867
      131        2.674        7.762            0      757.734      381.693       82.483
      132        2.711        7.855            0      757.053      373.042       78.824
      133        2.866        8.076            0      774.384      375.261       81.933
      134        2.608        7.823            0      754.367      335.609       89.922
      135        2.793        7.849            0      755.221      339.718       85.497
      136        2.567        7.707            0      752.158      387.799       90.733
      137        2.762        8.009            0      765.412      380.947       91.496
      138        2.763        8.006            0      763.568      388.967       90.130
      139        2.808        8.102            0      775.909      391.784       85.143
      140        2.758        7.923            0      760.807      389.232       84.960
      141        2.993        8.177            0      777.087      338.531       92.635
      142        2.797        8.052            0      767.801      367.807       88.342
      143        2.830        8.049            0      765.161      339.407       94.247
      144        2.755        7.956            0      764.401      372.296       90.372
      145        2.792        7.999            0      770.912      357.532       85.513
      146        2.723        8.006            0      764.939      372.024       90.824
      147        2.762        8.056            0      769.117      350.079       84.734
      148        2.671        8.079            0      766.221      365.780       97.438
      149        2.714        7.985            0      762.910      345.573       88.896
      150        2.625        7.930            0      754.502      358.316       91.474
      151        2.655        7.872            0      762.140      357.739       82.960
      152        2.652        7.908            0      763.448      328.231       89.682
      153        2.600        7.747            0      748.483      350.700       85.727
      154        2.705        7.912            0      757.200      346.220       90.497
      155        2.654        7.842            0      756.496      337.637       92.125
      156        2.615        7.891            0      758.168      356.675       86.238
      157        2.705        7.839            0      752.887      351.895       91.090
      158        2.596        7.893            0      760.070      381.008       89.597
      159        2.929        7.979            0      768.045      367.049       81.435
      160        2.882        8.155            0      770.974      356.525       88.429
      161        2.864        7.990            0      763.365      363.556       82.457
      162        3.020        8.086            0      771.696      333.479       83.514
      163        2.880        8.019            0      766.701      366.342       94.407
      164        2.883        8.087            0      767.466      351.022       91.853
      165        2.897        8.131            0      772.502      325.117       84.167
      166        2.881        8.031            0      768.266      348.663       90.651
      167        2.586        7.774            0      754.088      347.309       89.588
      168        2.456        7.797            0      763.868      338.900       90.593
      169        2.940        8.132            0      768.533      312.599       88.929
      170        2.903        8.086            0      773.573      347.224       85.887
      171        2.849        8.060            0      768.351      350.046       87.113
      172        2.801        7.988            0      762.153      333.392       95.710
      173        2.900        8.114            0      775.699      334.550       86.572
      174        2.623        7.899            0      765.097      362.798       87.973
      175        2.766        7.895            0      760.540      374.958       82.604
      176        2.994        8.135            0      770.887      328.004       88.939
      177        2.861        8.115            0      769.172      334.077       87.225
      178        2.683        7.904            0      770.648      355.400       87.410
      179        2.919        8.060            0      776.672      366.538       84.862
      180        2.922        8.046            0      766.694      352.282       85.851
      181        3.009        8.004            0      762.224      364.555       92.355
      182        3.166        8.111            0      763.479      347.031       90.814
      183        3.021        8.080            0      767.186      358.322       83.715
      184        2.904        8.033            0      762.888      357.174       85.124
      185        3.258        8.121            0      771.110      431.969       81.385
      186        3.014        7.911            0      756.493      393.517       95.752
      187        3.206        8.229            0      773.634      404.931       85.096
      188        3.043        8.088            0      769.689      391.805       81.362
      189        2.858        7.969            0      768.142      418.018       89.587
      190        2.456        7.639            0      750.243      426.390       87.502
      191        2.843        8.022            0      767.104      432.845       93.426
      192        2.917        7.959            0      763.758      433.504       87.242
      193        2.998        8.081            0      770.718      388.639       81.990
      194        2.375        7.579            0      745.859      423.353       83.165
      195        2.549        7.809            0      755.723      446.289       88.856
      196        2.838        7.884            0      758.819      405.296       87.747
      197        2.876        7.985            0      768.692      410.350       86.404
      198        2.840        7.996            0      760.684      399.679       93.372
      199        2.905        7.995            0      762.325      392.997       89.142
      200        2.857        7.956            0      762.691      421.067       87.637
      201        2.452        7.601            0      753.674      371.679       79.702
      202        2.535        7.790            0      755.452      420.398       89.293
      203        2.521        7.743            0      758.799      400.129       86.639
      204        2.523        7.669            0      755.783      391.508       79.677
      205        2.560        7.791            0      754.457      429.380       92.499
      206        2.799        7.919            0      766.521      444.656       87.017
      207        2.726        7.922            0      761.378      416.577       89.763
      208        2.803        7.961            0      764.438      403.997       84.429
      209        2.685        7.834            0      758.087      436.605       82.913
      210        2.913        8.001            0      763.533      428.420       92.829
      211        2.759        7.831            0      754.576      412.809       90.102
      212        2.573        7.728            0      752.101      394.369       85.128
      213        2.639        7.816            0      757.319      422.028       92.123
      214        2.456        7.803            0      756.442      429.249       91.032
      215        2.315        7.737            0      760.399      417.985       87.591
      216        2.312        7.614            0      751.172      399.206       91.611
      217        2.290        7.564            0      752.170      383.111       88.765
      218        2.534        7.775            0      757.685      419.566       84.305
      219        2.379        7.687            0      752.908      388.083       87.914
      220        2.611        7.881            0      766.012      406.630       93.408
      221        2.605        7.734            0      759.081      433.982       88.097
      222        2.612        7.801            0      759.983      435.566       88.971
      223        2.520        7.676            0      758.281      439.884       82.267
      224        2.798        7.980            0      762.343      433.084       87.390
      225        2.546        7.809            0      756.169      404.299       90.923
      226        2.686        7.845            0      759.960      395.603       87.581
      227        2.934        7.881            0      754.819      409.183       83.372
      228        2.688        7.760            0      755.354      384.365       89.855
      229        2.707        7.835            0      764.072      432.371       89.965
      230        3.046        8.158            0      768.069      443.958       87.296
      231        2.585        7.800            0      765.228      439.136       82.956
      232        3.222        8.135            0      768.314      439.008       86.111
      233        2.742        7.903            0      755.607      461.042       92.043
      234        2.643        7.880            0      763.489      472.450       83.344
      235        2.714        7.854            0      762.866      422.212       90.115
      236        2.819        7.837            0      757.248      427.649       94.530
      237        2.597        7.853            0      758.625      425.919       82.735
      238        2.569        7.642            0      748.540      414.292       91.675
      239        3.028        7.783            0      756.120      396.952       84.957
      240        3.044        7.801            0      758.021      414.555       79.767
      241        2.879        7.659            0      748.563      392.102       79.361
      242        2.729        7.504            0      743.842      375.428       82.639
      243        2.803        7.694            0      754.719      416.634       81.580
      244        2.591        7.465            0      747.053      400.962       84.558
      245        2.753        7.819            0      759.584      406.129       79.342
      246        3.115        8.024            0      771.056      373.962       87.192
      247        3.297        8.199            0      770.343      398.027       86.355
      248        2.864        7.998            0      768.622      376.064       91.375
      249        2.812        7.895            0      764.201      366.933       88.087
      250        3.073        8.013            0      769.220      402.244       88.036
      251        3.226        8.197            0      768.010      403.768       87.122
      252        2.921        7.948            0      763.579      407.125       88.711
      253        3.066        7.954            0      762.315      412.992       80.471
      254        2.990        8.024            0      758.440      400.774       85.202
      255        2.820        7.839            0      756.637      379.853       88.209
      256        2.831        7.903            0      752.743      370.122       87.765
      257        3.023        8.047            0      760.829      390.406       89.793
      258        2.837        7.967            0      761.457      410.313       88.523
      259        2.815        7.917            0      761.560      398.132       87.114
      260        2.915        7.887            0      756.323      412.714       93.891
      261        2.635        7.894            0      765.153      438.647       82.993
      262        2.512        7.598            0      755.420      415.212       85.865
      263        2.657        7.735            0      755.914      392.713       91.482
      264        2.643        7.801            0      755.898      419.996       88.440
      265        2.527        7.604            0      751.704      417.763       84.183
      266        2.810        7.912            0      762.962      400.067       91.429
      267        2.787        7.913            0      758.163      384.013       95.619
      268        2.831        7.874            0      758.523      417.844       88.586
      269        2.984        8.008            0      764.797      403.518       93.547
      270        3.035        8.079            0      763.253      418.391       89.870
      271        2.978        8.101            0      763.438      418.393       89.189
      272        3.116        8.150            0      766.291      430.024       87.939
      273        3.093        8.029            0      765.866      401.989       87.794
      274        3.228        8.133            0      762.323      392.199       90.382
      275        3.154        8.068            0      763.252      349.993       83.341
      276        3.278        8.222            0      770.698      387.902       88.579
      277        3.344        8.353            0      776.595      411.820       90.707
      278        3.331        8.071            0      762.975      410.241       87.141
      279        3.396        8.154            0      765.195      379.432       92.266
      280        3.433        8.091            0      761.292      429.556       85.822
      281        3.478        8.252            0      765.492      414.547       86.349
      282        3.045        8.111            0      761.933      392.620       88.981
      283        3.513        8.356            0      772.174      416.199       84.528
      284        3.183        8.239            0      770.457      401.676       91.954
      285        3.451        8.213            0      765.688      375.301       88.992
      286        3.338        8.249            0      764.643      390.970       87.217
      287        3.290        8.181            0      765.350      383.676       92.292
      288        3.384        8.214            0      765.931      393.279       86.726
      289        3.670        8.244            0      771.320      429.559       81.466
      290        3.158        8.063            0      765.392      400.448       83.182
      291        3.300        8.161            0      767.606      386.112       84.617
      292        2.962        7.952            0      754.395      371.003       87.869
      293        3.158        7.994            0      762.496      365.373       92.906
      294        3.007        8.040            0      762.027      380.828       85.875
      295        3.177        8.000            0      762.194      381.716       90.958
      296        3.255        8.035            0      756.248      396.187       88.543
      297        2.850        7.832            0      752.514      351.153       93.025
      298        3.126        8.026            0      762.899      364.212       86.100
      299        2.912        7.897            0      756.674      382.645       85.245
      300        3.219        8.100            0      762.459      409.440       82.610
      301        3.503        8.125            0      769.514      415.055       89.397
      302        2.901        7.975            0      758.745      427.763       91.298
      303        2.998        7.867            0      755.600      395.451       89.383
      304        3.267        8.076            0      763.426      377.436       83.189
      305        3.254        8.207            0      764.708      403.658       90.110
      306        3.148        8.182            0      772.936      417.583       89.594
      307        3.316        8.263            0      771.544      406.915       91.032
      308        2.974        8.008            0      759.328      440.127       93.821
      309        3.308        8.127            0      758.303      397.947       91.303
      310        3.254        8.123            0      764.026      408.003       91.830
      311        3.261        8.128            0      774.873      386.427       86.490
      312        3.344        8.005            0      757.011      361.569       85.862
      313        3.252        8.037            0      761.867      367.353       84.074
      314        3.072        7.858            0      767.487      383.622       87.832
      315        3.253        7.865            0      758.128      419.644       77.641
      316        3.630        8.213            0      766.398      423.950       78.811
      317        3.616        7.924            0      761.354      388.358       76.853
      318        3.346        7.930            0      763.530      387.560       81.348
      319        3.612        7.810            0      764.221      382.465       76.485
      320        3.369        7.857            0      756.221      413.769       78.987
      321        3.045        7.821            0      758.850      376.317       86.869
      322        3.006        7.740            0      759.076      398.490       85.444
      323        3.004        7.742            0      762.531      424.166       79.443
      324        2.868        7.774            0      755.139      429.804       78.725
      325        3.260        8.011            0      762.321      419.052       83.979
      326        2.926        7.894            0      760.528      413.413       87.352
