  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
         0      0.000           0.000           0.000           0.000           0.000           0.000
         1      1.884           1.885           2.282           2.022           1.864           0.669
         2      2.514           2.518           2.965           2.680           3.153           0.786
         3      2.619           2.619           3.110           2.807           2.966           0.677
         4      2.996           2.984           3.446           3.152           3.336           0.719
         5      3.157           3.140           3.619           3.324           3.629           0.746
         6      3.243           3.228           3.693           3.401           2.909           0.779
         7      3.461           3.442           3.891           3.602           3.949           0.777
         8      3.476           3.453           3.908           3.617           4.283           0.742
         9      3.643           3.631           4.074           3.793           3.811           0.627
        10      3.817           3.792           4.217           3.953           4.098           0.759
        11      3.893           3.853           4.279           4.007           3.803           0.650
        12      4.030           3.978           4.410           4.138           2.580           0.845
        13      3.994           3.960           4.436           4.137           3.454           0.752
        14      4.071           4.033           4.471           4.193           3.268           0.778
        15      4.116           4.082           4.535           4.254           3.630           0.750
        16      4.284           4.250           4.724           4.431           3.621           0.769
        17      4.401           4.351           4.766           4.501           3.624           0.705
        18      4.307           4.262           4.703           4.426           4.166           0.635
        19      4.464           4.428           4.873           4.597           4.122           0.705
        20      4.560           4.516           4.963           4.687           3.713           0.805
        21      4.650           4.600           5.049           4.769           3.179           0.598
        22      4.667           4.618           5.060           4.785           3.806           0.773
        23      4.591           4.532           5.027           4.726           3.499           0.678
        24      4.507           4.457           4.935           4.648           3.335           0.770
        25      4.662           4.623           5.061           4.798           3.546           0.839
        26      4.797           4.748           5.164           4.911           3.634           0.804
        27      4.958           4.911           5.316           5.073           4.522           0.690
        28      4.942           4.896           5.294           5.044           3.660           0.704
        29      5.185           5.130           5.517           5.270           3.560           0.845
        30      5.144           5.103           5.504           5.248           3.552           0.858
        31      5.027           4.988           5.412           5.148           3.888           0.818
        32      5.066           5.037           5.477           5.205           3.980           0.856
        33      5.099           5.075           5.497           5.226           3.685           0.807
        34      5.006           4.992           5.432           5.148           3.398           0.776
        35      5.147           5.127           5.571           5.283           3.689           0.722
        36      5.233           5.211           5.677           5.376           3.853           0.786
        37      5.232           5.213           5.656           5.370           3.490           0.804
        38      5.362           5.343           5.734           5.477           2.536           0.828
        39      5.409           5.384           5.799           5.533           3.310           0.855
        40      5.513           5.489           5.884           5.628           2.797           0.803
        41      5.499           5.477           5.862           5.606           2.440           0.817
        42      5.356           5.337           5.731           5.471           3.066           0.747
        43      5.632           5.610           5.975           5.733           2.770           0.732
        44      5.601           5.581           5.940           5.700           2.502           0.801
        45      5.604           5.594           5.980           5.726           2.854           0.834
        46      5.598           5.576           5.998           5.734           2.332           0.731
        47      5.657           5.647           6.046           5.793           2.373           0.849
        48      5.562           5.551           5.945           5.697           2.737           0.849
        49      5.553           5.537           5.937           5.685           2.933           0.672
        50      5.625           5.609           5.984           5.744           2.894           0.710
        51      5.824           5.803           6.217           5.950           3.003           0.748
        52      5.756           5.732           6.134           5.867           2.789           0.911
        53      5.605           5.580           5.990           5.718           2.977           0.774
        54      5.799           5.770           6.154           5.893           2.446           0.757
        55      5.875           5.855           6.235           5.978           2.821           0.907
        56      5.819           5.796           6.169           5.919           2.961           0.753
        57      5.768           5.737           6.133           5.870           2.327           0.703
        58      5.740           5.707           6.083           5.837           2.767           0.698
        59      5.884           5.857           6.210           5.966           2.517           0.654
        60      5.891           5.859           6.215           5.970           2.634           0.796
        61      5.821           5.777           6.138           5.889           2.561           0.685
        62      5.889           5.843           6.178           5.937           3.034           0.651
        63      5.982           5.938           6.292           6.041           2.958           0.718
        64      5.811           5.776           6.170           5.897           2.641           0.746
        65      5.990           5.952           6.316           6.063           2.832           0.715
        66      6.003           5.964           6.348           6.095           2.824           0.772
        67      6.143           6.090           6.411           6.182           2.703           0.715
        68      6.213           6.156           6.480           6.245           2.569           0.734
        69      6.148           6.102           6.454           6.207           3.159           0.709
        70      6.160           6.108           6.463           6.217           2.993           0.609
        71      6.182           6.124           6.473           6.231           3.343           0.687
        72      6.178           6.127           6.481           6.231           3.438           0.758
        73      6.199           6.153           6.490           6.244           2.710           0.704
        74      6.289           6.222           6.548           6.314           2.977           0.653
        75      6.222           6.147           6.502           6.254           2.904           0.619
        76      6.290           6.197           6.557           6.305           3.174           0.663
        77      6.206           6.106           6.480           6.219           3.104           0.714
        78      6.290           6.178           6.521           6.287           2.969           0.795
        79      6.250           6.164           6.522           6.278           2.823           0.722
        80      6.228           6.150           6.477           6.256           3.053           0.708
        81      6.258           6.181           6.518           6.296           2.496           0.665
        82      6.268           6.174           6.507           6.292           3.022           0.735
        83      6.295           6.180           6.525           6.294           3.368           0.751
        84      6.379           6.270           6.618           6.388           3.129           0.780
        85      6.310           6.190           6.526           6.297           3.364           0.710
        86      6.424           6.289           6.612           6.389           3.064           0.798
        87      6.533           6.377           6.701           6.470           2.946           0.683
        88      6.678           6.522           6.809           6.603           2.818           0.749
        89      6.573           6.389           6.694           6.475           2.315           0.732
        90      6.525           6.376           6.717           6.482           2.874           0.691
        91      6.554           6.431           6.761           6.528           2.842           0.747
        92      6.657           6.560           6.906           6.664           2.728           0.709
        93      6.634           6.522           6.905           6.637           2.794           0.773
        94      6.877           6.770           7.118           6.871           3.797           0.719
        95      6.820           6.712           7.081           6.817           2.613           0.708
        96      6.815           6.697           7.062           6.803           2.810           0.754
        97      6.813           6.703           7.062           6.810           2.737           0.726
        98      6.834           6.727           7.092           6.842           2.986           0.737
        99      6.973           6.853           7.181           6.949           3.858           0.693
       100      6.900           6.783           7.120           6.886           3.565           0.739
       101      6.816           6.702           7.051           6.812           3.640           0.621
       102      6.666           6.555           6.918           6.679           3.515           0.806
       103      6.689           6.571           6.935           6.695           4.209           0.748
       104      6.581           6.462           6.849           6.592           4.176           0.721
       105      6.683           6.574           6.939           6.693           3.929           0.658
       106      6.781           6.665           7.023           6.775           3.851           0.673
       107      6.781           6.667           7.032           6.782           4.739           0.685
       108      6.870           6.746           7.113           6.853           4.416           0.845
       109      6.924           6.777           7.128           6.876           4.934           0.753
       110      6.932           6.786           7.149           6.896           4.965           0.725
       111      6.859           6.706           7.072           6.816           5.197           0.760
       112      6.954           6.798           7.202           6.927           5.113           0.715
       113      6.940           6.796           7.196           6.925           5.371           0.724
       114      6.986           6.844           7.208           6.944           5.994           0.688
       115      7.076           6.904           7.253           6.997           5.314           0.798
       116      7.098           6.893           7.213           6.971           5.983           0.797
       117      7.171           6.982           7.278           7.054           6.052           0.750
       118      7.250           7.053           7.311           7.118           5.361           0.753
       119      7.302           7.082           7.369           7.154           5.660           0.681
       120      7.432           7.201           7.477           7.260           5.187           0.688
       121      7.295           7.098           7.403           7.177           5.582           0.773
       122      7.226           6.999           7.290           7.072           5.819           0.574
       123      7.392           7.140           7.439           7.214           5.252           0.766
       124      7.454           7.182           7.468           7.254           5.346           0.622
       125      7.436           7.152           7.417           7.210           5.597           0.602
       126      7.411           7.121           7.359           7.167           5.105           0.769
