  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
         0      0.000           0.000           0.000           0.000           0.000           0.000
         1      1.420           1.438           1.964           1.628           1.767           0.891
         2      1.984           1.990           2.481           2.161           2.031           1.229
         3      2.091           2.098           2.626           2.285           2.177           1.072
         4      2.149           2.160           2.669           2.336           1.842           1.204
         5      1.868           1.891           2.487           2.098           1.800           1.390
         6      2.217           2.232           2.797           2.431           1.806           1.346
         7      2.272           2.285           2.824           2.467           1.893           1.666
         8      2.423           2.438           2.939           2.610           2.114           1.765
         9      2.192           2.209           2.807           2.420           1.910           1.692
        10      2.103           2.126           2.751           2.363           1.973           1.730
        11      2.484           2.493           3.070           2.711           2.508           1.848
        12      2.574           2.583           3.213           2.836           2.116           1.577
        13      2.589           2.595           3.202           2.827           2.104           1.698
        14      2.530           2.528           3.137           2.764           2.363           1.761
        15      2.684           2.679           3.280           2.909           2.157           1.549
        16      2.232           2.231           2.976           2.527           2.639           2.177
        17      2.435           2.442           3.105           2.708           2.329           1.896
        18      2.725           2.722           3.342           2.974           2.414           1.870
        19      2.837           2.842           3.401           3.064           2.229           1.655
        20      2.419           2.414           3.116           2.691           2.246           1.948
        21      2.526           2.519           3.216           2.799           2.235           1.775
        22      2.456           2.452           3.178           2.752           2.221           1.647
        23      2.484           2.486           3.191           2.768           2.171           1.589
        24      2.412           2.406           3.157           2.713           2.365           1.846
        25      2.474           2.468           3.183           2.756           2.154           1.549
        26      2.479           2.487           3.211           2.776           2.261           1.901
        27      2.333           2.328           3.091           2.644           2.329           1.952
        28      2.469           2.466           3.196           2.771           2.121           1.784
        29      2.523           2.518           3.244           2.818           2.593           2.083
        30      2.774           2.751           3.449           3.043           2.678           1.908
        31      2.414           2.403           3.153           2.713           2.323           1.782
        32      2.375           2.373           3.140           2.693           2.434           1.994
        33      2.389           2.392           3.169           2.709           2.495           1.917
        34      2.576           2.580           3.281           2.858           2.299           1.727
        35      2.597           2.616           3.290           2.879           2.591           1.832
        36      2.560           2.593           3.200           2.824           2.390           1.852
        37      2.627           2.650           3.284           2.901           2.283           1.894
        38      2.688           2.710           3.346           2.963           2.118           1.589
        39      2.734           2.757           3.351           2.992           2.420           1.991
        40      2.713           2.739           3.357           2.980           2.372           1.990
        41      2.554           2.577           3.241           2.840           2.154           1.819
        42      2.588           2.600           3.304           2.889           2.391           2.171
        43      2.709           2.715           3.410           2.994           2.617           2.148
        44      2.683           2.687           3.417           2.989           2.274           2.054
        45      2.631           2.625           3.364           2.927           2.342           2.002
        46      2.581           2.575           3.313           2.878           2.459           2.074
        47      2.658           2.666           3.312           2.908           2.522           2.195
        48      3.036           3.049           3.552           3.221           2.482           2.153
        49      2.759           2.780           3.300           2.950           2.085           1.878
        50      2.682           2.690           3.260           2.882           2.484           2.243
        51      2.798           2.821           3.363           2.999           2.530           2.127
        52      2.984           2.995           3.598           3.212           2.627           1.863
        53      2.924           2.945           3.471           3.129           2.664           2.006
        54      3.000           3.050           3.572           3.242           2.481           1.918
        55      3.172           3.230           3.685           3.388           2.308           1.882
        56      3.118           3.142           3.717           3.353           2.694           1.946
        57      3.139           3.180           3.750           3.396           2.389           1.963
        58      3.406           3.436           3.918           3.606           2.561           1.921
        59      3.350           3.372           3.874           3.557           2.388           1.860
        60      3.180           3.220           3.665           3.368           2.504           1.958
        61      3.147           3.203           3.548           3.288           2.393           2.070
        62      2.996           3.038           3.514           3.183           2.066           1.601
        63      3.029           3.060           3.574           3.229           2.214           1.984
        64      3.025           3.053           3.601           3.258           2.553           2.007
        65      2.643           2.671           3.396           2.972           2.276           1.902
        66      2.873           2.908           3.514           3.143           2.313           2.070
        67      3.203           3.237           3.769           3.432           2.341           1.909
        68      3.112           3.149           3.664           3.335           2.366           1.796
        69      3.409           3.453           3.900           3.603           2.441           1.955
        70      3.327           3.380           3.801           3.519           2.235           1.942
        71      3.263           3.324           3.718           3.445           2.140           1.582
        72      3.154           3.216           3.669           3.381           2.217           1.646
        73      3.271           3.329           3.799           3.497           2.167           1.579
        74      3.298           3.346           3.833           3.528           2.307           1.727
        75      3.120           3.157           3.730           3.381           2.271           1.620
        76      2.930           2.986           3.632           3.248           2.163           1.596
        77      2.942           2.970           3.672           3.265           2.457           1.802
        78      3.173           3.205           3.802           3.450           2.315           1.647
        79      3.125           3.151           3.788           3.413           2.421           1.469
        80      3.064           3.090           3.708           3.341           2.340           1.437
        81      2.933           2.943           3.684           3.257           2.037           1.383
        82      3.316           3.347           3.949           3.589           2.596           1.489
        83      3.167           3.208           3.839           3.464           2.588           1.689
        84      2.968           3.003           3.681           3.281           2.324           1.667
        85      2.879           2.907           3.607           3.190           2.137           1.772
        86      3.078           3.105           3.811           3.414           2.328           1.595
        87      2.999           3.024           3.758           3.339           2.361           1.742
        88      2.966           2.997           3.687           3.289           2.400           1.664
        89      3.166           3.220           3.800           3.460           2.035           1.455
        90      3.208           3.259           3.820           3.479           2.317           1.584
        91      3.232           3.272           3.869           3.527           2.467           1.652
        92      3.302           3.339           3.927           3.581           2.289           1.786
        93      3.330           3.359           3.991           3.631           2.293           1.539
        94      3.316           3.343           3.948           3.591           2.569           1.839
        95      3.335           3.356           3.970           3.607           2.572           1.697
        96      3.291           3.308           3.946           3.572           2.505           1.919
        97      3.364           3.379           3.951           3.604           2.396           1.720
        98      3.299           3.324           3.884           3.548           2.460           1.908
        99      3.146           3.161           3.811           3.424           2.242           1.975
       100      3.195           3.227           3.835           3.473           2.637           2.139
       101      3.076           3.106           3.775           3.392           2.397           1.845
       102      3.062           3.091           3.770           3.389           2.164           1.545
       103      3.288           3.320           3.920           3.569           2.318           1.906
       104      3.031           3.071           3.700           3.335           2.364           1.964
       105      3.342           3.408           3.908           3.616           2.381           1.645
       106      3.334           3.380           3.932           3.612           2.263           1.505
       107      3.344           3.365           3.964           3.609           2.368           1.756
       108      3.540           3.578           4.096           3.789           2.586           1.977
       109      3.310           3.342           3.943           3.594           2.230           1.802
       110      3.500           3.546           4.038           3.749           2.300           1.877
       111      3.420           3.477           3.988           3.694           2.525           2.104
       112      3.512           3.566           4.063           3.776           2.391           2.019
       113      3.507           3.562           4.044           3.758           2.620           1.970
       114      3.549           3.589           4.093           3.786           2.621           1.986
       115      3.537           3.575           4.139           3.819           2.729           2.187
       116      3.501           3.565           4.070           3.777           2.807           2.437
       117      3.318           3.376           3.898           3.592           2.142           1.874
       118      3.389           3.432           3.970           3.647           2.439           2.093
       119      3.343           3.397           3.878           3.584           2.391           1.983
       120      3.419           3.458           3.980           3.656           2.598           2.101
       121      3.386           3.403           3.985           3.627           2.544           2.036
       122      3.474           3.485           4.067           3.709           2.560           2.225
       123      3.590           3.596           4.218           3.840           2.533           2.047
       124      3.655           3.660           4.247           3.890           2.655           2.081
       125      3.514           3.547           4.061           3.725           2.559           2.110
       126      3.792           3.816           4.289           3.986           2.377           2.064
       127      3.664           3.682           4.232           3.894           2.479           1.807
       128      3.727           3.761           4.260           3.956           2.662           1.941
       129      3.769           3.822           4.273           3.983           2.270           2.012
       130      3.723           3.771           4.273           3.959           2.239           1.988
       131      3.462           3.525           4.073           3.733           2.253           1.918
       132      3.345           3.393           4.024           3.652           1.948           1.617
       133      3.399           3.445           4.052           3.695           2.515           2.071
       134      3.624           3.684           4.149           3.865           2.306           1.872
       135      3.627           3.689           4.147           3.861           2.512           2.088
       136      3.627           3.692           4.127           3.852           2.727           2.075
       137      3.440           3.495           4.037           3.706           2.286           1.477
       138      3.513           3.570           4.103           3.778           2.585           1.759
       139      3.504           3.554           4.096           3.755           2.360           1.807
       140      3.476           3.534           4.007           3.697           2.206           1.643
       141      3.519           3.584           4.039           3.732           2.087           1.682
       142      3.449           3.500           4.013           3.697           2.147           1.808
       143      3.586           3.630           4.127           3.807           2.403           2.239
       144      3.640           3.686           4.171           3.863           2.505           1.575
       145      3.583           3.613           4.145           3.818           2.923           2.113
       146      3.525           3.556           4.085           3.758           2.248           1.677
       147      3.467           3.493           4.121           3.751           2.415           1.693
       148      3.370           3.389           4.025           3.641           2.219           1.465
       149      3.518           3.544           4.109           3.763           2.597           1.645
       150      3.400           3.442           4.002           3.646           2.419           1.731
       151      3.363           3.384           3.968           3.613           2.516           1.567
       152      3.401           3.433           4.029           3.663           2.367           1.696
       153      3.305           3.317           3.950           3.563           2.388           2.177
       154      3.227           3.248           3.868           3.482           2.629           2.035
       155      3.197           3.220           3.861           3.471           2.655           2.184
       156      3.326           3.377           3.929           3.581           2.745           1.971
       157      3.632           3.694           4.141           3.834           2.772           1.849
       158      3.595           3.641           4.118           3.803           2.692           1.906
       159      3.603           3.665           4.109           3.800           2.786           1.860
       160      3.653           3.701           4.181           3.856           2.422           1.789
       161      3.640           3.667           4.184           3.845           2.643           1.822
       162      3.677           3.707           4.181           3.855           2.265           1.671
       163      3.614           3.643           4.152           3.818           2.581           1.966
       164      3.729           3.766           4.306           3.962           2.564           1.480
       165      3.846           3.863           4.412           4.065           2.168           1.565
       166      3.644           3.663           4.233           3.877           2.491           1.425
       167      3.677           3.683           4.287           3.918           2.279           1.590
       168      3.645           3.653           4.255           3.883           2.610           1.840
       169      3.722           3.746           4.289           3.943           2.495           2.062
       170      3.619           3.652           4.198           3.858           2.354           1.554
       171      3.604           3.639           4.165           3.834           2.220           1.648
       172      3.595           3.647           4.109           3.815           2.411           1.579
       173      3.719           3.771           4.204           3.927           2.388           1.851
       174      3.438           3.489           4.002           3.677           2.356           1.732
       175      3.529           3.582           4.084           3.764           2.462           1.784
