  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
       166      4.269           4.247           5.395           4.768
       167      4.267           4.238           5.456           4.810
       168      4.274           4.242           5.486           4.819
       169      4.228           4.200           5.427           4.778
       170      4.234           4.211           5.441           4.786
       171      4.180           4.153           5.305           4.685
       172      4.147           4.115           5.287           4.664
       173      4.107           4.077           5.232           4.633
       174      4.161           4.136           5.280           4.680
       175      4.000           3.978           5.145           4.533
       176      4.137           4.107           5.299           4.672
       177      4.134           4.108           5.275           4.659
       178      4.005           3.976           5.213           4.563
       179      4.106           4.082           5.262           4.638
       180      4.075           4.043           5.247           4.608
       181      4.161           4.131           5.336           4.700
       182      4.200           4.179           5.331           4.711
       183      4.094           4.067           5.223           4.597
       184      4.156           4.128           5.327           4.682
       185      4.106           4.084           5.236           4.601
       186      4.053           4.033           5.193           4.552
       187      4.073           4.061           5.237           4.591
       188      4.123           4.105           5.241           4.611
       189      4.140           4.118           5.298           4.654
       190      4.238           4.218           5.366           4.727
       191      4.031           4.005           5.209           4.549
       192      4.132           4.103           5.288           4.641
       193      4.089           4.063           5.212           4.588
       194      3.889           3.864           5.071           4.411
       195      4.037           4.025           5.214           4.552
       196      3.991           3.977           5.139           4.488
       197      3.925           3.903           5.065           4.415
       198      4.025           4.000           5.165           4.526
       199      4.027           3.991           5.202           4.546
       200      4.133           4.108           5.283           4.639
       201      4.157           4.126           5.343           4.694
       202      4.163           4.136           5.338           4.690
       203      4.180           4.158           5.417           4.740
       204      4.052           4.027           5.342           4.635
       205      4.144           4.122           5.434           4.727
       206      4.158           4.131           5.396           4.713
       207      4.227           4.203           5.409           4.755
       208      4.266           4.243           5.482           4.813
       209      4.306           4.291           5.465           4.819
       210      4.183           4.169           5.408           4.731
       211      4.078           4.059           5.310           4.626
       212      4.332           4.311           5.540           4.845
       213      4.472           4.456           5.644           4.979
       214      4.362           4.345           5.575           4.884
       215      4.262           4.246           5.436           4.777
       216      4.362           4.344           5.511           4.852
       217      4.294           4.274           5.426           4.777
       218      4.300           4.283           5.496           4.815
       219      4.233           4.210           5.398           4.746
       220      4.235           4.214           5.411           4.742
       221      4.233           4.206           5.461           4.764
       222      4.000           3.980           5.207           4.532
       223      4.031           4.011           5.258           4.567
       224      3.978           3.955           5.239           4.532
       225      4.273           4.250           5.489           4.800
       226      4.319           4.294           5.543           4.863
       227      4.371           4.348           5.590           4.891
       228      4.328           4.306           5.571           4.872
       229      4.263           4.241           5.459           4.772
       230      4.152           4.140           5.351           4.657
       231      4.124           4.103           5.340           4.642
       232      4.191           4.158           5.418           4.708
       233      4.040           4.012           5.208           4.539
       234      4.131           4.116           5.277           4.621
       235      4.100           4.079           5.279           4.611
       236      4.095           4.074           5.256           4.596
       237      3.945           3.928           5.156           4.473
       238      3.915           3.896           5.132           4.440
       239      3.903           3.889           5.132           4.446
       240      3.833           3.814           5.111           4.396
       241      4.094           4.073           5.305           4.621
       242      4.110           4.083           5.302           4.621
       243      4.265           4.237           5.496           4.801
       244      4.395           4.360           5.599           4.913
       245      4.403           4.370           5.623           4.936
       246      4.318           4.292           5.505           4.826
       247      4.225           4.200           5.378           4.728
       248      4.214           4.201           5.388           4.724
       249      4.124           4.108           5.369           4.673
       250      4.096           4.068           5.332           4.639
       251      4.128           4.105           5.307           4.635
       252      4.116           4.089           5.303           4.622
       253      4.062           4.036           5.317           4.602
       254      4.115           4.080           5.351           4.647
       255      4.053           4.030           5.310           4.605
       256      4.179           4.159           5.401           4.713
       257      4.060           4.037           5.294           4.604
       258      4.081           4.067           5.301           4.631
       259      3.922           3.907           5.185           4.488
       260      4.056           4.047           5.289           4.614
       261      3.991           3.980           5.243           4.559
       262      4.041           4.029           5.304           4.613
