  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
         0      0.000           0.000           0.000           0.000           0.000           0.000
         1      1.030           1.053           1.423           1.184           0.940           0.450
         2      1.218           1.238           1.685           1.399           1.341           0.582
         3      1.378           1.399           1.870           1.565           1.611           0.628
         4      1.407           1.424           1.911           1.596           1.565           0.687
         5      1.466           1.493           2.026           1.690           1.261           0.577
         6      1.681           1.699           2.238           1.901           1.454           0.559
         7      1.661           1.674           2.220           1.873           1.461           0.541
         8      1.695           1.703           2.327           1.940           1.465           0.577
         9      1.942           1.955           2.530           2.171           2.015           0.541
        10      1.905           1.913           2.523           2.141           1.716           0.524
        11      1.967           1.972           2.634           2.223           2.067           0.486
        12      1.934           1.958           2.645           2.232           1.726           0.562
        13      1.895           1.906           2.621           2.194           2.033           0.563
        14      1.945           1.956           2.666           2.235           2.274           0.620
        15      1.859           1.878           2.644           2.183           1.574           0.526
        16      1.839           1.847           2.659           2.164           1.304           0.484
        17      2.076           2.087           2.840           2.385           1.295           0.494
        18      2.095           2.101           2.830           2.397           1.819           0.567
        19      2.099           2.110           2.862           2.420           2.017           0.501
        20      2.226           2.227           2.947           2.531           2.409           0.504
        21      2.336           2.331           3.076           2.639           2.198           0.554
        22      2.292           2.293           3.095           2.633           1.899           0.437
        23      2.350           2.347           3.140           2.675           1.550           0.449
        24      2.420           2.417           3.170           2.732           2.134           0.502
        25      2.443           2.436           3.222           2.772           2.462           0.527
        26      2.414           2.408           3.197           2.748           2.425           0.547
        27      2.425           2.424           3.193           2.752           2.834           0.515
        28      2.332           2.326           3.143           2.682           1.708           0.567
        29      2.345           2.353           3.193           2.721           1.938           0.630
        30      2.372           2.377           3.218           2.740           2.376           0.563
        31      2.398           2.409           3.207           2.748           2.049           0.419
        32      2.409           2.413           3.236           2.763           2.259           0.339
        33      2.398           2.402           3.264           2.767           2.380           0.581
        34      2.456           2.468           3.268           2.806           2.247           0.584
        35      2.466           2.474           3.310           2.833           2.074           0.568
        36      2.483           2.489           3.328           2.842           1.927           0.584
        37      2.470           2.483           3.289           2.816           2.155           0.658
        38      2.464           2.476           3.324           2.830           2.719           0.631
        39      2.554           2.562           3.436           2.934           2.236           0.665
        40      2.496           2.500           3.387           2.869           2.490           0.603
        41      2.513           2.522           3.351           2.854           2.530           0.490
        42      2.558           2.561           3.395           2.895           2.511           0.553
        43      2.518           2.527           3.369           2.858           2.254           0.590
        44      2.653           2.650           3.523           3.011           2.721           0.582
        45      2.656           2.658           3.512           3.004           2.840           0.547
        46      2.624           2.632           3.502           2.973           2.266           0.627
        47      2.586           2.594           3.491           2.950           2.391           0.657
        48      2.514           2.515           3.432           2.884           2.960           0.659
        49      2.574           2.577           3.488           2.943           2.265           0.639
        50      2.441           2.451           3.401           2.831           2.182           0.598
        51      2.419           2.427           3.422           2.836           1.619           0.591
        52      2.584           2.588           3.531           2.974           2.096           0.692
        53      2.689           2.687           3.626           3.073           2.363           0.666
        54      2.733           2.731           3.707           3.133           1.940           0.565
        55      2.783           2.786           3.691           3.149           2.589           0.643
        56      2.637           2.649           3.577           3.024           2.423           0.850
        57      2.697           2.703           3.634           3.085           2.052           0.810
        58      2.730           2.736           3.576           3.069           2.367           0.769
        59      2.679           2.694           3.564           3.036           2.115           0.732
        60      2.594           2.602           3.512           2.978           2.558           0.911
        61      2.720           2.733           3.642           3.107           2.981           0.858
        62      2.603           2.609           3.543           2.988           2.274           0.863
        63      2.747           2.750           3.640           3.105           2.387           0.872
        64      2.734           2.744           3.660           3.105           2.335           1.056
        65      2.722           2.720           3.646           3.089           1.876           0.942
        66      2.763           2.759           3.680           3.122           1.943           0.848
        67      2.733           2.729           3.660           3.100           1.796           0.844
        68      2.946           2.946           3.802           3.276           2.335           0.962
        69      2.878           2.863           3.798           3.235           2.141           0.995
        70      2.913           2.906           3.822           3.266           2.175           0.967
        71      2.983           2.979           3.860           3.323           2.196           0.897
        72      2.921           2.917           3.833           3.278           2.353           0.882
        73      2.850           2.842           3.754           3.210           2.696           1.060
        74      2.833           2.833           3.784           3.218           2.527           0.929
        75      2.839           2.836           3.781           3.216           2.234           0.908
        76      2.836           2.830           3.768           3.208           2.259           0.957
        77      3.018           3.017           3.920           3.373           2.722           0.994
        78      2.956           2.949           3.900           3.328           2.508           0.933
        79      2.926           2.924           3.905           3.324           2.325           0.966
